datetime,location,oxygenDissolved_mgl_1p5m,oxygenDissolvedPercentOfSaturation_pct_1p5m,waterTemperature_DO_degC_1p5m,flag_do1p5m
2007-08-27 23:00:00,loon,NA,NA,NA,
2007-08-27 23:10:00,loon,9.68,112.1,22.64,x
2007-08-27 23:20:00,loon,9.68,112,22.63,x
2007-08-27 23:30:00,loon,9.68,112,22.6,x
2007-08-27 23:40:00,loon,9.68,112,22.6,x
2007-08-27 23:50:00,loon,9.68,112,22.58,x
2007-08-28 00:00:00,loon,9.68,111.9,22.58,x
2007-08-28 00:10:00,loon,9.67,111.8,22.57,x
2007-08-28 00:20:00,loon,9.68,111.8,22.55,x
2007-08-28 00:30:00,loon,9.67,111.8,22.55,x
2007-08-28 00:40:00,loon,9.68,111.9,22.55,x
2007-08-28 00:50:00,loon,9.68,111.8,22.53,x
2007-08-28 01:00:00,loon,9.68,111.8,22.52,x
2007-08-28 01:10:00,loon,9.69,111.9,22.51,x
2007-08-28 01:20:00,loon,9.68,111.8,22.49,x
2007-08-28 01:30:00,loon,9.69,111.8,22.48,x
2007-08-28 01:40:00,loon,9.68,111.7,22.45,x
2007-08-28 01:50:00,loon,9.69,111.8,22.44,x
2007-08-28 02:00:00,loon,9.68,111.7,22.43,x
2007-08-28 02:10:00,loon,9.69,111.7,22.42,x
2007-08-28 02:20:00,loon,9.69,111.8,22.42,x
2007-08-28 02:30:00,loon,9.69,111.7,22.41,x
2007-08-28 02:40:00,loon,9.68,111.6,22.4,x
2007-08-28 02:50:00,loon,9.69,111.6,22.37,x
2007-08-28 03:00:00,loon,9.69,111.6,22.38,x
2007-08-28 03:10:00,loon,9.69,111.6,22.37,x
2007-08-28 03:20:00,loon,9.69,111.6,22.36,x
2007-08-28 03:30:00,loon,9.68,111.5,22.35,x
2007-08-28 03:40:00,loon,9.68,111.5,22.33,x
2007-08-28 03:50:00,loon,9.68,111.4,22.33,x
2007-08-28 04:00:00,loon,9.68,111.4,22.29,x
2007-08-28 04:10:00,loon,9.68,111.3,22.29,x
2007-08-28 04:20:00,loon,9.68,111.3,22.29,x
2007-08-28 04:30:00,loon,9.68,111.3,22.27,x
2007-08-28 04:40:00,loon,9.67,111.1,22.27,x
2007-08-28 04:50:00,loon,9.67,111.2,22.27,x
2007-08-28 05:00:00,loon,9.67,111.1,22.25,x
2007-08-28 05:10:00,loon,9.65,110.9,22.25,x
2007-08-28 05:20:00,loon,9.65,110.9,22.27,x
2007-08-28 05:30:00,loon,9.65,111,22.26,x
2007-08-28 05:40:00,loon,9.66,111,22.24,x
2007-08-28 05:50:00,loon,9.66,111,22.26,x
2007-08-28 06:00:00,loon,9.67,111.1,22.26,x
2007-08-28 06:10:00,loon,9.67,111.2,22.27,x
2007-08-28 06:20:00,loon,9.67,111.2,22.27,x
2007-08-28 06:30:00,loon,9.68,111.3,22.27,x
2007-08-28 06:40:00,loon,9.68,111.2,22.23,x
2007-08-28 06:50:00,loon,9.68,111.2,22.22,x
2007-08-28 07:00:00,loon,9.67,111.1,22.2,x
2007-08-28 07:10:00,loon,9.68,111.2,22.21,x
2007-08-28 07:20:00,loon,9.68,111.2,22.21,x
2007-08-28 07:30:00,loon,9.69,111.3,22.2,x
2007-08-28 07:40:00,loon,9.71,111.5,22.22,x
2007-08-28 07:50:00,loon,9.7,111.5,22.23,x
2007-08-28 08:00:00,loon,9.72,111.7,22.26,x
2007-08-28 08:10:00,loon,9.7,111.6,22.29,x
2007-08-28 08:20:00,loon,9.68,111.5,22.34,x
2007-08-28 08:30:00,loon,9.69,111.6,22.34,x
2007-08-28 08:40:00,loon,9.69,111.7,22.37,x
2007-08-28 08:50:00,loon,9.69,111.6,22.37,x
2007-08-28 09:00:00,loon,9.69,111.7,22.41,x
2007-08-28 09:10:00,loon,9.69,111.7,22.4,x
2007-08-28 09:20:00,loon,9.69,111.7,22.4,x
2007-08-28 09:30:00,loon,9.69,111.8,22.45,x
2007-08-28 09:40:00,loon,9.69,111.8,22.43,x
2007-08-28 09:50:00,loon,9.69,111.7,22.41,x
2007-08-28 10:00:00,loon,9.68,111.9,22.53,x
2007-08-28 10:10:00,loon,9.69,111.8,22.47,x
2007-08-28 10:20:00,loon,9.69,111.9,22.5,x
2007-08-28 10:30:00,loon,9.69,112,22.57,x
2007-08-28 10:40:00,loon,9.69,111.9,22.49,x
2007-08-28 10:50:00,loon,9.68,112.1,22.61,x
2007-08-28 11:00:00,loon,9.68,112.2,22.68,x
2007-08-28 11:10:00,loon,9.67,112,22.69,x
2007-08-28 11:20:00,loon,9.73,112.9,22.72,x
2007-08-28 11:30:00,loon,9.7,112.6,22.77,x
2007-08-28 11:40:00,loon,9.69,112.4,22.74,x
2007-08-28 11:50:00,loon,9.68,112.5,22.81,x
2007-08-28 12:00:00,loon,9.61,112.5,23.23,x
2007-08-28 12:10:00,loon,9.68,113.2,23.16,x
2007-08-28 12:20:00,loon,9.63,113,23.38,x
2007-08-28 12:30:00,loon,9.66,112.7,23.02,x
2007-08-28 12:40:00,loon,9.68,112.6,22.88,x
2007-08-28 12:50:00,loon,9.67,113.4,23.3,x
2007-08-28 13:00:00,loon,9.69,112.9,22.95,x
2007-08-28 13:10:00,loon,9.66,113.2,23.24,x
2007-08-28 13:20:00,loon,9.71,113.1,22.91,x
2007-08-28 13:30:00,loon,9.77,113.6,22.86,x
